"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2,-0.174422074002154,-0.591819306811527,2,2,2,1.39278687599689,2,-0.636528694962763,-0.707728629345935,-0.33490976246203,1.31703473883189,2.23124219660329,2,-1.03551053996658,0.498033969147349,-0.237655378870678,-0.137160007079398,-0.595553753176014,-0.501633482963955,0.0663724734953268,-0.533675884331758,2,-0.770082742313047,-0.666074942883776,2,2,-0.159624172004039,2,-0.169808922553981,0.479951791181627,-0.631649287208863,-0.684069396657621,-0.679024882512304,0.15816913135081,2,2,2,-1.02594213286235,0.62023080376866,2,2,2,1.03185915310506,-0.859458209217161,-0.443469189889084,-0.579211573897901,-0.847152017053144,-1.00701213139595,2
"2",2,-0.174422074002154,-0.591819306811527,2,-1.00841569492956,-0.434284582321231,1.39278687599689,2,-0.636528694962763,-0.707728629345935,-0.33490976246203,-0.362809467231288,2,2,-1.03551053996658,0.498033969147349,-0.237655378870678,-0.137160007079398,-0.730320347184548,-0.501633482963955,-0.212604859146348,-0.580068903628836,-0.8578047112715,-1.00857135331569,-0.666074942883776,-0.909347113717055,0.706590410601197,-0.159624172004039,-0.365296386046335,-0.169808922553981,-0.786700372564364,-0.685960893935991,-0.684069396657621,-0.679024882512304,0.15816913135081,-0.735198490219605,2,-0.876606827715029,-1.02594213286235,-0.225562354760065,0.54683711430977,0.525113828464126,0.524701627868597,-0.788606319716326,-0.859458209217161,-0.443469189889084,-0.756684855028203,-0.847152017053144,-1.00701213139595,2
"3",-0.496361114985011,-0.174422074002154,-0.591819306811527,2,-1.00841569492956,-0.602320763251506,-0.6360507766145,-0.730765333176602,-0.636528694962763,-0.707728629345935,-0.33490976246203,-0.991097824141096,2,-0.743578671833136,-1.03551053996658,0.167281763116636,-0.237655378870678,-0.670212646816423,-0.730320347184548,-0.561128691490197,-0.212604859146348,-0.580068903628836,-0.8578047112715,-1.00857135331569,-1.00916884201266,-0.909347113717055,-0.764065606002956,-0.159624172004039,-0.365296386046335,-0.785957645597893,-0.806150028233592,-0.685960893935991,-0.684069396657621,-0.679024882512304,-0.0322712310774465,-0.735198490219605,-0.667115483072986,-0.876606827715029,-1.02594213286235,-0.225562354760065,-0.781562614300569,-0.349346587018537,-0.254796634510551,-0.788606319716326,-0.859458209217161,-0.551090534127588,-0.756684855028203,-0.847152017053144,-1.00701213139595,-0.689287415688121
"4",-0.8845422856258,-0.174422074002154,-0.591819306811527,-0.523041570571786,-1.00841569492956,-0.743840183145728,-0.6360507766145,-0.730765333176602,-0.851775592066587,-0.707728629345935,-0.811122660911763,-0.991097824141096,-0.922772947624755,-0.743578671833136,-1.03551053996658,-0.084755758640718,-0.237655378870678,-0.991259792565069,-0.730320347184548,-0.561128691490197,-0.212604859146348,-0.780013288606116,-0.8578047112715,-1.00857135331569,-1.00916884201266,-0.909347113717055,-0.764065606002956,-1.00905484390684,-0.365296386046335,-0.785957645597893,-0.938280397163186,-0.885607743304213,-0.684069396657621,-0.679024882512304,-0.0322712310774465,-0.976309434366227,-0.734517563479577,-0.876606827715029,-1.02594213286235,-0.828932660235869,-0.781562614300569,-0.349346587018537,-0.721545602936065,-0.788606319716326,-0.859458209217161,-0.643561219719493,-0.99187238039128,-0.847152017053144,-1.00701213139595,-0.689287415688121
"5",-0.8845422856258,-0.913914083469498,-0.591819306811527,-0.523041570571786,-1.00841569492956,-0.743840183145728,-0.6360507766145,-0.730765333176602,-0.851775592066587,-0.707728629345935,-0.811122660911763,-0.991097824141096,-0.922772947624755,-0.743578671833136,-1.03551053996658,-0.084755758640718,-0.237655378870678,-0.991259792565069,-0.730320347184548,-0.561128691490197,-0.212604859146348,-0.780013288606116,-0.8578047112715,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.03640813174521,-1.00905484390684,-0.365296386046335,-0.785957645597893,-0.938280397163186,-0.885607743304213,-0.77601339639249,-0.679024882512304,-0.0322712310774465,-0.976309434366227,-0.734517563479577,-0.881336248233972,-1.02594213286235,-0.828932660235869,-0.781562614300569,-0.971959980660109,-0.947557852886188,-0.788606319716326,-0.958382016586284,-0.643561219719493,-0.99187238039128,-0.847152017053144,-1.00701213139595,-0.689287415688121
"6",-0.8845422856258,-0.913914083469498,-0.885238948797482,-0.523041570571786,-1.00841569492956,-0.743840183145728,-0.723463747844102,-0.84022812392366,-0.851775592066587,-0.724937667527522,-0.811122660911763,-0.991097824141096,-0.922772947624755,-0.743578671833136,-1.03551053996658,-0.880126377442633,-0.661880629442913,-0.991259792565069,-0.748239624779356,-0.561128691490197,-0.970220770043766,-0.780013288606116,-0.8578047112715,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.03640813174521,-1.00905484390684,-0.365296386046335,-0.785957645597893,-0.938280397163186,-0.885607743304213,-0.77601339639249,-0.910450594456092,-0.921319179930441,-0.976309434366227,-0.734517563479577,-0.881336248233972,-1.02594213286235,-0.828932660235869,-0.781562614300569,-0.971959980660109,-0.947557852886188,-0.788606319716326,-0.958382016586284,-0.726206522769467,-0.99187238039128,-0.860676080689572,-1.00701213139595,-0.689287415688121
"7",-0.8845422856258,-0.913914083469498,-0.885238948797482,-0.928941723830305,-1.00841569492956,-0.743840183145728,-0.723463747844102,-0.84022812392366,-0.851775592066587,-0.724937667527522,-0.811122660911763,-0.991097824141096,-1.03135185754354,-0.903351395881438,-1.03551053996658,-1.0146336018498,-1.04157475317245,-0.991259792565069,-0.748239624779356,-0.561128691490197,-1.01578504515386,-0.780013288606116,-0.8578047112715,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.03640813174521,-1.00905484390684,-0.869522076872121,-0.785957645597893,-0.938280397163186,-0.885607743304213,-0.962407195012106,-0.910450594456092,-1.02619786880765,-0.976309434366227,-0.734517563479577,-0.926152065496398,-1.02594213286235,-0.828932660235869,-0.781562614300569,-0.971959980660109,-0.947557852886188,-0.788606319716326,-0.958382016586284,-0.726206522769467,-0.99187238039128,-0.860676080689572,-1.00701213139595,-0.689287415688121
"8",-1.02744691744743,-0.913914083469498,-0.885238948797482,-0.928941723830305,-1.00841569492956,-0.743840183145728,-0.723463747844102,-0.84022812392366,-0.851775592066587,-0.724937667527522,-1.01178616375436,-0.991097824141096,-1.03135185754354,-0.903351395881438,-1.03551053996658,-1.0146336018498,-1.04157475317245,-0.991259792565069,-0.748239624779356,-0.635120802114643,-1.01578504515386,-0.841317633171103,-0.932993950797065,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.03640813174521,-1.00905484390684,-0.869522076872121,-0.989041170129823,-0.938280397163186,-0.885607743304213,-0.962407195012106,-0.910450594456092,-1.02619786880765,-0.976309434366227,-0.734517563479577,-0.926152065496398,-1.02594213286235,-0.978897073910023,-1.00767544776564,-0.971959980660109,-0.947557852886188,-0.788606319716326,-0.958382016586284,-0.726206522769467,-0.99187238039128,-0.860676080689572,-1.00701213139595,-0.760161260484576
"9",-1.02744691744743,-0.913914083469498,-0.966735302599527,-0.928941723830305,-1.00841569492956,-0.743840183145728,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.724937667527522,-1.01178616375436,-0.991097824141096,-1.03135185754354,-0.903351395881438,-1.03551053996658,-1.0146336018498,-1.04157475317245,-0.991259792565069,-0.748239624779356,-1.02418193589735,-1.01578504515386,-0.841317633171103,-0.932993950797065,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.03640813174521,-1.00905484390684,-0.924596355185981,-0.989041170129823,-0.938280397163186,-0.885607743304213,-0.962407195012106,-0.910450594456092,-1.02619786880765,-0.976309434366227,-0.734517563479577,-0.926152065496398,-1.02594213286235,-0.978897073910023,-1.00767544776564,-1.03283806286205,-0.947557852886188,-0.980051391907261,-1.02829874049218,-0.726206522769467,-0.99187238039128,-0.958683960025339,-1.00701213139595,-0.760161260484576
"10",-1.02744691744743,-0.996852560412424,-0.966735302599527,-0.928941723830305,-1.00841569492956,-0.880860040846799,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.877584865337457,-1.01178616375436,-0.991097824141096,-1.03135185754354,-0.933441147907386,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-0.793404987045646,-1.0287082930981,-1.01578504515386,-0.841317633171103,-0.932993950797065,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.04360969249741,-1.00905484390684,-0.924596355185981,-0.989041170129823,-0.938280397163186,-0.885607743304213,-0.962407195012106,-0.910450594456092,-1.02619786880765,-1.02090247343348,-1.03663891177805,-0.926152065496398,-1.02594213286235,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.947557852886188,-0.980051391907261,-1.02829874049218,-0.883547624975415,-1.04667150723829,-0.958683960025339,-1.00701213139595,-0.760161260484576
